city,state_id,lat,lng,population
Paris,AR,35.2894,-93.7252,3254
Baldwyn,MS,34.5071,-88.6416,3254
North Browning,MT,48.5706,-113.0267,3253
Blue Earth,MN,43.6409,-94.1005,3252
Hiawatha,KS,39.8519,-95.5380,3251
Centerville,PA,40.0300,-79.9633,3250
Dandridge,TN,36.0284,-83.4308,3250
Boiling Springs,PA,40.1592,-77.1391,3249
Oakridge,OR,43.7451,-122.4638,3247
Brodhead,WI,42.6168,-89.3756,3247
Mount Shasta,CA,41.3206,-122.3150,3247
Mannford,OK,36.1306,-96.3340,3246
Howards Grove,WI,43.8261,-87.8232,3246
River Road,NC,35.5107,-76.9898,3244
Kingstree,SC,33.6665,-79.8292,3244
Ocala Estates,FL,29.2018,-82.3098,3243
Willcox,AZ,32.2515,-109.8359,3240
Niantic,CT,41.3258,-72.1952,3240
Brackenridge,PA,40.6079,-79.7411,3240
Eielson AFB,AK,64.6741,-147.0605,3240
Wesleyville,PA,42.1369,-80.0123,3238
Rush City,MN,45.6875,-92.9655,3238
Montgomery,MN,44.4450,-93.5797,3237
Dundee,OR,45.2759,-123.0070,3237
Williams,AZ,35.2476,-112.1834,3235
South Jacksonville,IL,39.7025,-90.2292,3235
Sleepy Hollow,IL,42.0912,-88.3138,3234
Winnsboro,SC,34.3718,-81.0907,3234
Peaceful Valley,WA,48.9507,-122.1484,3234
Havana,IL,40.2950,-90.0566,3232
Macungie,PA,40.5165,-75.5545,3231
Penbrook,PA,40.2781,-76.8483,3230
South Alamo,TX,26.1517,-98.1079,3228
Livingston,AL,32.5982,-88.1891,3227
Moss Beach,CA,37.5184,-122.5036,3227
Yorkville,WI,42.7155,-88.0097,3226
Buffalo,MO,37.6444,-93.0970,3226
Corning,AR,36.4134,-90.5839,3226
West Fork,AR,35.9355,-94.1800,3225
Minerva,OH,40.7306,-81.1023,3224
Hogansville,GA,33.1674,-84.9027,3224
Milton,DE,38.7750,-75.3102,3224
Woodbourne,PA,40.2017,-74.8873,3224
Beloit,KS,39.4645,-98.1082,3223
Waialua,HI,21.5660,-158.1199,3222
Hinton,OK,35.4895,-98.3575,3222
Algoma,WI,44.6058,-87.4465,3221
Port Angeles East,WA,48.1041,-123.3694,3221
Rockfish,NC,34.9902,-79.0694,3220
Garnett,KS,38.2845,-95.2408,3219
Melbourne Beach,FL,28.0668,-80.5610,3219
Rockwood,MI,42.0705,-83.2430,3218
Chandler,TX,32.3065,-95.4781,3218
Wellford,SC,34.9620,-82.0937,3217
Newton,MS,32.3296,-89.1534,3217
Orofino,ID,46.4866,-116.2572,3216
Cashmere,WA,47.5175,-120.4670,3215
Country Club,MO,39.8388,-94.8205,3215
Mobridge,SD,45.5409,-100.4349,3215
Sharpsburg,PA,40.4940,-79.9249,3214
Brent,AL,32.9421,-87.1753,3214
Mount Penn,PA,40.3287,-75.8897,3213
Stonybrook,PA,39.9811,-76.6306,3213
Burlington,CO,39.3042,-102.2712,3212
Galena,IL,42.4218,-90.4293,3212
Warrior,AL,33.8149,-86.8157,3211
Cuthbert,GA,31.7713,-84.7940,3209
Leisuretowne,NJ,39.8987,-74.7059,3209
Chimayo,NM,35.9981,-105.9413,3208
Redwood,OR,42.4219,-123.3915,3207
Buzzards Bay,MA,41.7550,-70.6128,3206
Cuba,MO,38.0671,-91.4057,3206
Desert View Highlands,CA,34.5903,-118.1535,3205
South Beach,FL,27.5883,-80.3435,3204
Bunnell,FL,29.4193,-81.3231,3203
Tangelo Park,FL,28.4560,-81.4465,3202
Sherwood,WI,44.1763,-88.2756,3202
Lake Royale,NC,35.9666,-78.1960,3199
Vado,NM,32.1278,-106.6571,3199
Kotzebue,AK,66.8766,-162.5231,3199
Gloucester Courthouse,VA,37.4053,-76.5260,3198
Monmouth Beach,NJ,40.3364,-73.9863,3197
Bath,MI,42.8199,-84.4544,3197
State Line,PA,39.7329,-77.7247,3195
Ladysmith,WI,45.4606,-91.0973,3194
Ferriday,LA,31.6343,-91.5562,3194
Tipton,CA,36.0572,-119.3135,3193
Eagle Lake,MN,44.1636,-93.8823,3192
Port Washington North,NY,40.8434,-73.7014,3192
Glasgow,MT,48.1990,-106.6321,3192
McChord AFB,WA,47.1330,-122.4923,3191
West Burlington,IA,40.8215,-91.1755,3190
Tallapoosa,GA,33.7335,-85.2859,3189
Coquí,PR,17.9793,-66.2255,3189
Biscoe,NC,35.3585,-79.7816,3188
North Shore,VA,37.0783,-79.6525,3188
Lodi,WI,43.3154,-89.5367,3187
Elizabethtown,NC,34.6219,-78.6074,3187
Chico,WA,47.6226,-122.7193,3187
Red Bay,AL,34.4357,-88.1361,3187
Monument Beach,MA,41.7192,-70.6060,3187
Carrollton,OH,40.5787,-81.0907,3186
Denmark,SC,33.3152,-81.1364,3186
Gambrills,MD,39.0927,-76.6511,3185
Bishop,TX,27.5852,-97.7975,3185
Gleed,WA,46.6594,-120.6025,3184
Barton Creek,TX,30.2818,-97.8681,3183
Hideaway,TX,32.4890,-95.4578,3182
Cassville,MO,36.6786,-93.8682,3182
Georgetown,IL,39.9774,-87.6354,3182
Wrightstown,WI,44.3263,-88.1756,3181
Cutten,CA,40.7657,-124.1445,3180
Nyssa,OR,43.8779,-116.9956,3180
Saluda,SC,34.0009,-81.7713,3179
Villa Ridge,MO,38.4676,-90.8854,3177
New Holstein,WI,43.9491,-88.0942,3177
Val Verde,CA,34.4504,-118.6717,3177
Cleveland,OK,36.3008,-96.4635,3174
Hanceville,AL,34.0632,-86.7645,3174
McDonald,OH,41.1636,-80.7233,3170
Brightwaters,NY,40.7193,-73.2642,3169
Harriman,NY,41.3088,-74.1445,3168
Reliez Valley,CA,37.9399,-122.1027,3168
Blountstown,FL,30.4430,-85.0455,3168
Fiskdale,MA,42.1229,-72.1089,3166
Ingalls Park,IL,41.5204,-88.0345,3166
Slippery Rock,PA,41.0695,-80.0580,3165
Wolfdale,PA,40.1979,-80.3001,3164
Lutcher,LA,30.0646,-90.7124,3163
Erda,UT,40.6028,-112.3214,3163
Southern Gateway,VA,38.3489,-77.5036,3163
Claryville,KY,38.9140,-84.4095,3162
Hilltop,SC,34.9755,-81.9586,3161
Morongo Valley,CA,34.0724,-116.5627,3159
Lebanon,VA,36.8991,-82.0784,3158
Wellsville,OH,40.6042,-80.6550,3157
Park Hills,KY,39.0692,-84.5313,3155
Greenwood,LA,32.4359,-93.9643,3155
Putney,GA,31.4755,-84.1010,3155
Zillah,WA,46.4084,-120.2727,3154
Vivian,LA,32.8711,-93.9862,3153
Lincoln Heights,OH,39.2434,-84.4570,3153
Wilder,KY,39.0401,-84.4816,3147
Big Coppitt Key,FL,24.5914,-81.6574,3147
Northeast Ithaca,NY,42.4703,-76.4623,3146
Maybrook,NY,41.4881,-74.2130,3146
Piney Point Village,TX,29.7588,-95.5156,3144
Orchard City,CO,38.8144,-107.9705,3144
Central Park,WA,46.9705,-123.7018,3144
Tipton,IA,41.7701,-91.1283,3143
Pine City,MN,45.8368,-92.9682,3142
Skidway Lake,MI,44.1918,-84.0467,3142
Millersburg,OH,40.5533,-81.9171,3141
Horace,ND,46.7558,-96.9078,3141
Big Sky,MT,45.2592,-111.3426,3141
Valley View,PA,39.9497,-76.7010,3140
Winfield,WV,38.5292,-81.8857,3140
Shelby,MT,48.5031,-111.8614,3139
East Greenville,PA,40.4057,-75.5059,3139
Red Springs,NC,34.8046,-79.1822,3139
Montezuma,GA,32.2997,-84.0246,3138
La Paloma,TX,26.0518,-97.6552,3138
Valhalla,NY,41.0773,-73.7778,3135
Hokendauqua,PA,40.6585,-75.4952,3135
Wewoka,OK,35.1441,-96.4968,3135
Dover Base Housing,DE,39.1178,-75.4837,3135
Churchill,PA,40.4389,-79.8416,3134
Grantville,GA,33.2371,-84.8293,3133
West Union,OH,38.7917,-83.5441,3132
Holmes Beach,FL,27.5108,-82.7152,3132
East Brewton,AL,31.0906,-87.0556,3131
Le Roy,IL,40.3395,-88.7628,3131
Mount Morris,MI,43.1176,-83.6987,3131
Erwinville,LA,30.5410,-91.3885,3130
Hollywood Park,TX,29.5994,-98.4841,3130
Edgewood,PA,40.4313,-79.8839,3129
Mineral Springs,NC,34.9412,-80.6847,3129
Country Squire Lakes,IN,39.0380,-85.6849,3128
Woodbury Heights,NJ,39.8160,-75.1511,3125
Nicholls,GA,31.5186,-82.6396,3124
Tybee Island,GA,32.0095,-80.8531,3124
San Saba,TX,31.1975,-98.7194,3121
DeQuincy,LA,30.4490,-93.4456,3120
Summit,MS,31.2808,-90.4670,3120
Clyde Hill,WA,47.6304,-122.2180,3118
Pitcairn,PA,40.4079,-79.7765,3117
Biscayne Park,FL,25.8818,-80.1814,3117
East Dundee,IL,42.0972,-88.2545,3117
Summit Hill,PA,40.8249,-75.8464,3117
Byrnes Mill,MO,38.4395,-90.5741,3116
South Pittsburg,TN,35.0111,-85.7183,3116
Burgaw,NC,34.5509,-77.9224,3116
Corunna,MI,42.9837,-84.1162,3116
Stanton,KY,37.8465,-83.8564,3115
Kurtistown,HI,19.5860,-155.0713,3115
Marshall,VA,38.8661,-77.8453,3114
Salmon,ID,45.1743,-113.8947,3114
Kingman,KS,37.6480,-98.1167,3114
Hill 'n Dale,FL,28.5190,-82.2918,3114
Proctor,MN,46.7407,-92.2282,3113
Okemah,OK,35.4292,-96.2998,3113
San Antonio Heights,CA,34.1573,-117.6592,3111
Sandia Heights,NM,35.1747,-106.4884,3110
Fairport Harbor,OH,41.7475,-81.2731,3109
Mount Gilead,OH,40.5532,-82.8280,3108
Nashville,IL,38.3541,-89.3770,3108
Hicksville,OH,41.2944,-84.7648,3107
Myerstown,PA,40.3722,-76.3055,3107
George West,TX,28.3300,-98.1183,3106
Atoka,OK,34.3860,-96.1317,3106
Arthurtown,SC,33.9644,-81.0023,3106
Cutchogue,NY,41.0168,-72.4871,3104
West Sand Lake,NY,42.6402,-73.6033,3104
Bamberg,SC,33.2995,-81.0323,3103
Cannon AFB,NM,34.3885,-103.3185,3103
Vienna,GA,32.0926,-83.7868,3102
Savanna,IL,42.0904,-90.1395,3102
Gloverville,SC,33.5274,-81.8144,3102
Ripley,WV,38.8201,-81.7091,3100
Ashland,NE,41.0396,-96.3723,3099
Pottsville,AR,35.2312,-93.0654,3098
Valley Green,PA,40.1567,-76.7947,3097
Nevada City,CA,39.2607,-121.0231,3097
Nags Head,NC,35.9473,-75.6273,3096
East Syracuse,NY,43.0638,-76.0698,3096
Dry Ridge,OH,39.2589,-84.6342,3095
Salunga,PA,40.0929,-76.4279,3094
Marin City,CA,37.8710,-122.5137,3094
Early,TX,31.7421,-98.9366,3094
